Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,Adjusted 52 Week High,Adjusted 52 Week Low,365 Days % Change,30 Days % Change
"CNX NIFTY","7,997.80","7,999.30","7,977.65","7,984.55","56.80","0.72","483.31","2,307.16","8,180.20","5,933.30","8,180.20","5,933.30","28.68","-1.99"
"HEROMOTOCO","3,026.00","3,112.00","3,026.00","3,108.85","113.00","3.77","2.73","84.25","3,112.00","1,907.10","3,112.00","1,907.10","48.05","3.70"
"KOTAKBANK","1,021.30","1,048.90","1,020.00","1,045.00","31.25","3.08","5.08","52.77","1,086.60","630.50","1,086.60","630.50","45.78","0.11"
"TATAMOTORS","508.65","515.45","508.65","514.30","12.85","2.56","20.02","102.43","542.60","332.10","542.60","332.10","35.32","-4.77"
"BAJAJ-AUTO","2,427.50","2,471.00","2,427.50","2,466.00","53.95","2.24","1.44","35.26","2,471.00","1,793.20","2,471.00","1,793.20","14.66","2.22"
"GRASIM","3,360.25","3,410.00","3,344.00","3,409.95","70.15","2.10","0.20","6.73","3,789.00","2,426.35","3,789.00","2,426.35","25.27","-8.03"
"DRREDDY","2,997.00","3,038.95","2,995.30","3,021.15","56.85","1.92","1.22","36.88","3,356.50","2,246.50","3,356.50","2,246.50","23.78","-5.93"
"JINDALSTEL","148.50","150.45","146.15","148.20","2.75","1.89","36.97","54.92","351.00","127.70","351.00","127.70","-39.82","-30.84"
"CIPLA","612.00","622.95","609.75","619.65","11.35","1.87","7.09","43.89","639.10","366.50","639.10","366.50","48.67","1.10"
"MARUTI","3,092.00","3,137.00","3,085.40","3,131.70","56.00","1.82","1.11","34.56","3,137.00","1,470.10","3,137.00","1,470.10","106.04","2.14"
"LT","1,530.00","1,545.85","1,525.60","1,539.25","27.25","1.80","8.59","131.97","1,776.60","885.00","1,776.60","885.00","66.31","0.39"
"CAIRN","276.00","284.00","274.50","283.35","4.95","1.78","18.99","53.31","386.00","272.65","386.00","272.65","-14.31","-11.84"
"BHEL","240.20","243.85","237.95","242.60","4.15","1.74","30.49","73.56","291.50","131.00","291.50","131.00","66.74","9.45"
"AMBUJACEM","214.50","217.90","214.50","217.20","3.60","1.69","4.50","9.75","243.80","150.10","243.80","150.10","9.50","1.42"
"RELIANCE","935.10","947.55","933.15","943.10","13.75","1.48","7.24","68.17","1,145.25","793.10","1,145.25","793.10","3.27","-4.89"
"ACC","1,455.00","1,468.00","1,444.50","1,466.00","20.65","1.43","0.58","8.47","1,564.65","970.15","1,564.65","970.15","27.52","-1.84"
"ASIANPAINT","649.80","658.30","647.95","653.35","9.10","1.41","7.38","48.24","680.95","460.20","680.95","460.20","26.67","0.09"
"TECHM","2,349.75","2,363.85","2,335.00","2,362.10","31.40","1.35","1.68","39.57","2,543.50","1,467.00","2,543.50","1,467.00","52.84","-4.34"
"WIPRO","582.80","583.20","576.00","580.95","7.65","1.33","3.94","22.86","621.90","466.65","621.90","466.65","14.81","-0.09"
"SUNPHARMA","806.00","807.95","797.35","806.75","9.40","1.18","4.03","32.42","878.40","552.55","878.40","552.55","27.86","1.05"
"BHARTIARTL","413.90","415.00","411.70","414.75","4.10","1.00","8.36","34.61","420.00","281.90","420.00","281.90","17.51","-0.10"
"IDFC","146.00","146.60","145.30","146.35","1.45","1.00","15.22","22.21","166.65","88.05","166.65","88.05","44.33","1.18"
"ULTRACEMCO","2,417.00","2,428.85","2,410.65","2,422.55","22.55","0.94","1.34","32.36","2,872.00","1,634.00","2,872.00","1,634.00","23.68","-7.44"
"TCS","2,485.00","2,489.00","2,450.55","2,455.00","21.60","0.89","4.23","104.19","2,839.70","1,970.00","2,839.70","1,970.00","18.50","-9.80"
"M&M","1,245.00","1,248.45","1,230.30","1,240.00","10.95","0.89","3.02","37.37","1,433.70","840.00","1,433.70","840.00","39.69","-9.64"
"SSLT","251.60","252.95","248.60","250.55","2.05","0.82","10.43","26.08","318.30","168.85","318.30","168.85","25.87","-11.54"
"TATASTEEL","461.00","462.85","458.00","459.15","3.45","0.76","12.34","56.82","579.90","308.70","579.90","308.70","36.61","-8.33"
