Scrip Code,COMPANY,Close Price,ISIN Code
523395,3M India Ltd,12842.15,INE470A01017
500002,ABB India Ltd,1161,INE117A01022
533096,Adani Power Ltd,27.7,INE814H01011
532480,Allahabad Bank,84.1,INE428A01015
522275,Alstom T&D India Ltd,320.8,INE200A01026
500008,Amara Raja Batteries Ltd,957.2,INE885A01032
508869,Apollo Hospitals Enterprise Ltd,1348.85,INE437A01024
500477,Ashok Leyland Ltd,87.7,INE208A01029
500034,Bajaj Finance Ltd,11020,INE296A01016
532978,Bajaj Finserv Ltd,2966.4,INE918I01018
500490,Bajaj Holdings and Investment Ltd,1811.75,INE118A01012
532149,Bank of India,117.05,INE084A01016
509480,Berger Paints India Ltd,260.4,INE463A01038
500049,Bharat Electronics Ltd,1219.65,INE263A01016
500493,Bharat Forge Ltd,850.65,INE465A01025
532523,Biocon Ltd,917,INE376G01013
526612,Blue Dart Express Ltd,5415.5,INE233B01017
500825,Britannia Industries Ltd.,3453.8,INE216A01022
532321,Cadila Healthcare Ltd,380.65,INE010B01027
532483,Canara Bank,280.3,INE476A01014
500870,Castrol India Ltd,447.9,INE172A01027
500830,Colgate-Palmolive India Ltd,950.75,INE259A01022
531344,Container Corp Of India,1394.05,INE111A01017
500092,CRISIL Ltd,2194.1,INE007A01025
500480,Cummins India Ltd,920.5,INE298A01020
532488,Divi's Laboratories Ltd,1325.25,INE361B01024
531162,Emami Ltd,1148.05,INE548C01032
500086,Exide Industries Ltd,185.35,INE302A01020
500676,GlaxoSmithKline Consumer Healthcare Ltd,6268.3,INE264A01014
500660,GlaxoSmithKline Pharmaceuticals Ltd,3035,INE159A01016
532296,Glenmark Pharmaceuticals Ltd,842.35,INE935A01035
532754,GMR Infrastructure Ltd,13.63,INE776C01039
500164,Godrej Industries Ltd,422.45,INE233A01035
517354,Havells India Ltd,418.2,INE176B01034
500104,Hindustan Petroleum Corp Ltd,1216.1,INE094A01015
500116,IDBI Bank Ltd,72.9,INE008A01015
535789,Indiabulls Housing Finance Limited,819.55,INE148I01020
532814,Indian Bank,224.55,INE562A01011
500850,Indian Hotels Co Ltd,130.2,INE053A01029
532532,Jaiprakash Associates Ltd,11.66,INE455F01025
532286,Jindal Steel & Power Ltd,85.45,INE749A01030
533148,JSW Energy Ltd,77.65,INE121E01018
500228,JSW Steel Ltd,1755.35,INE019A01020
500165,Kansai Nerolac Paints Ltd.,370.6,INE531A01024
533519,L&T Finance Holdings Ltd,97,INE498L01015
500253,LIC Housing Finance Ltd,572.75,INE115A01026
532720,Mahindra & Mahindra Financial Services Ltd,355.35,INE774D01024
500109,Mangalore Refinery & Petrochemicals Ltd,78.55,INE103A01014
531642,Marico Ltd,291.6,INE196A01026
526299,MphasiS Ltd,567.2,INE356A01018
500290,MRF Ltd,37449,INE883A01011
532234,National Aluminium Co Ltd,47.15,INE139A01034
513683,NLC India Ltd,77.45,INE589A01014
533273,Oberoi Realty Ltd,303.25,INE093I01010
532466,Oracle Financial Services Software Ltd,3457.1,INE881D01027
500315,Oriental Bank Of Commerce,125.6,INE141A01014
532827,Page Industries Ltd,14790.8,INE761H01022
532522,Petronet LNG Ltd,351.35,INE347G01014
500331,Pidilite Industries Ltd,698.15,INE318A01026
